City,OVERALL SCORE,PERCENTILE RANKING,Housing,Safety,Mobility,Health,Entertainment,Diversity,Education,Employment
Billerica,4.58,2.21,4,4.8,6.4,4.2,4.9,4.6,3.9,4.7
Essex,4.57,2.14,4.4,6.2,4.9,1.2,4.1,0.4,8.1,4.4
Lowell,4.55,2.07,3.9,1.9,5.6,3.7,7.4,9.8,1.8,4.6
Marlborough,4.51,2,4.5,1.5,3.5,2.6,8.6,8.7,2.5,4.9
Pembroke,4.5,1.93,4.8,7.7,3.6,4.6,5.8,0.8,4.6,3.8
Avon,4.4,1.86,5.9,3.8,4.5,8.1,2.4,7.5,2.8,2.3
Bridgewater,4.32,1.79,2.8,7.7,6.6,2.5,5.3,4.7,3.2,4.2
Holbrook,4.31,1.71,5.3,1.6,4.3,8.8,3.1,7.3,2.4,3.4
Kingston,4.31,1.64,7.3,4.3,3.9,3,5.7,1.8,4,2.3
Amesbury,4.31,1.57,3.7,2.4,7.2,4.7,5.3,1.7,4.5,4.1
Abington,4.3,1.5,5,1.1,4.6,5.7,4.6,5.4,3,4.7
Haverhill,4.24,1.43,4.7,0.2,3.7,3.6,7.7,6.4,2.2,5
Rowley,4.23,1.36,4.7,8.6,4.1,3.3,3.7,0.6,5.1,3.3
Stow,4.23,1.29,5.3,7.9,2.9,3.3,1,4.2,4.3,5.5
Merrimac,4.17,1.21,6.9,5.9,4.6,4.9,0.9,1.4,4.5,3.1
Brockton,4.16,1.14,4,0,4.7,3,7.4,9.5,1.2,4.9
Whitman,4.16,1.07,4.6,4,6.5,6.1,3.6,3.1,2.3,4
Georgetown,4.15,1,4.6,5.9,5.7,4.1,1.9,0.6,5.6,3.6
Lynn,4.13,0.93,4,0.4,5.8,3.5,7.1,9.7,1.3,3.3
Gloucester,4.08,0.86,4.5,2.1,3.6,1.4,8.2,3,3.1,5
West Bridgewater,4.05,0.79,3.9,2.7,5,5,5,3.3,2.6,5
Lawrence,4.03,0.71,4,0.5,5.8,3.4,7.7,7.1,0.8,4.1
Bellingham,3.9,0.64,2.9,3,4.2,2.9,5.9,4.6,3,5.2
Hanson,3.89,0.57,6.7,5.1,3,5.1,2.3,2.4,2.8,3.2
East Bridgewater,3.89,0.5,4.2,5.8,5.2,3.7,3.5,2.2,2.3,5
Milford,3.88,0.43,3.6,1.3,4.2,2,7.6,6.9,2.1,4
Hull,3.88,0.36,4.3,3.1,1.8,3.9,4.8,0.7,5.5,4.4
Taunton,3.84,0.29,3.9,1.4,3.2,3.2,6.7,7.7,1.4,4.4
Middleborough,3.78,0.21,3.4,5,6.3,0.7,5.7,1.9,3,4
Plympton,3.27,0.14,4.9,3.3,2.9,4.2,0.7,0.1,3.3,4.9
Carver,3.27,0.07,4.9,4.5,3.3,1.4,4.3,1.3,2.6,2.9
Halifax,2.85,0,4,5.2,2.9,1.8,1.8,0.9,3.4,2.2
